state,arrestee_profiles,offender_profiles
Alabama,101000,261574
Alaska,52149,26997
Arizona,68516,411452
Arkansas,78269,183020
California,1012182,2257141
Colorado,368906,213721
Connecticut,0,128631
Delaware,0,22704
District of Columbia,0,0
Florida,632359,1141652
Georgia,0,442649
Hawaii,0,41703
Idaho,0,70329
Illinois,918,712849
Indiana,138228,303566
Iowa,0,154777
Kansas,141055,96390
Kentucky,0,241089
Louisiana,507450,159345
Maine,0,37624
Maryland,56770,146826
Massachusetts,0,164175
Michigan,192674,390000
Minnesota,0,194155
Mississippi,8344,137059
Missouri,70784,360009
Montana,0,50543
Nebraska,0,58065
Nevada,154014,104060
New Hampshire,0,18979
New Jersey,25314,347037
New Mexico,70833,70943
New York,0,720774
North Carolina,71186,315767
North Dakota,36764,14116
Ohio,386083,513065
Oklahoma,12550,193241
Oregon,0,234373
Pennsylvania,0,474358
Puerto Rico,2956,22103
Rhode Island,552,31068
South Carolina,73604,222872
South Dakota,60730,28874
Tennessee,157730,281839
Texas,194255,1035322
Utah,6777,119884
Vermont,1818,22436
Virginia,3887,501024
Washington,0,328412
West Virginia,0,47610
Wisconsin,27569,363582
Wyoming,0,32552