Demographic,Region,Value
state_db_total,California,2771721
percent_of_national_db,California,16.30%
state_db_total,Florida,1175391
percent_of_national_db,Florida,6.90%
state_db_total,Indiana,300741
percent_of_national_db,Indiana,1.80%
state_db_total,Maine,33711
percent_of_national_db,Maine,0.20%
state_db_total,Nevada,344097
percent_of_national_db,Nevada,2.02%
state_db_total,South Dakota,67533
percent_of_national_db,South Dakota,0.40%
state_db_total,Texas,854322
percent_of_national_db,Texas,5.40%