Year,Total,White,Black
1610,350,350,0
1620,2302,2282,20
1630,4646,4587,59
1640,26634,26049,585
1650,50368,48800,1568
1660,75058,72196,2862
1670,111935,107491,4444
1680,151507,144675,6832
1690,210372,193978,16394
1700,250888,223082,27806
1710,331711,289867,41844
1720,466185,398891,67294
1730,629445,533776,95669
1740,905563,749523,156040
1750,1170760,923733,247027
1760,1593625,1274335,319290
1770,2148076,1688630,459446
1780,2780369,2221448,558921
1790,3929214,3172006,757208
1800,5308483,4306446,1002037
1810,7239881,5862073,1377808
1820,9638453,7866797,1771656
1830,12860702,10532060,2328642
1840,17063353,14189705,2873648
1850,23191876,19553068,3638808
1860,31443321,26922537,4441830
1870,38558371,33589377,4880009
1880,50155783,43402970,6580793
1890,62622250,54983890,7470040
1900,75994575,66809196,8833994
1910,91972266,81731957,9827763
1920,105710620,94820915,10463131
1930,122775046,110286740,11891143
1940,131669275,118214870,12865518
1950,150697361,134942028,15042286
1960,178464236,158454956,18860117
1970,203211926,177748975,22580289
1980,226545805,188371622,26495025
1990,248709873,199686070,29986060