"YEAR","RACE","AGE_RANGE","chborn_num","count","proportion"
1960,"White","40-49",0,13044,0.154832276903354
1960,"White","40-49",1,15632,0.185551836288963
1960,"White","40-49",2,22677,0.26917598461648
1960,"White","40-49",3,14839,0.176138926477221
1960,"White","40-49",4,8257,0.0980105880397882
1960,"White","40-49",5,4247,0.0504118889917622
1960,"White","40-49",6,2328,0.0276333594473328
1960,"White","40-49",7,1266,0.0150274196994516
1960,"White","40-49",8,757,0.0089855898202882
1960,"White","40-49",9,486,0.0057688198846236
1960,"White","40-49",10,284,0.0033710799325784
1960,"White","40-49",11,193,0.0022909099541818
1960,"White","40-49",12,236,0.0028013199439736
1960,"White","50-59",0,15286,0.200075915236712
1960,"White","50-59",1,15108,0.197746102799702
1960,"White","50-59",2,17967,0.235167078964935
1960,"White","50-59",3,11148,0.145914320493187
1960,"White","50-59",4,6549,0.0857187733144854
1960,"White","50-59",5,3723,0.0487297286684729
1960,"White","50-59",6,2299,0.030091229172393
1960,"White","50-59",7,1504,0.0196856062093428
1960,"White","50-59",8,1030,0.01348149893326
1960,"White","50-59",9,644,0.00842920904176647
1960,"White","50-59",10,483,0.00632190678132485
1960,"White","50-59",11,273,0.0035732516590097
1960,"White","50-59",12,387,0.00506537872540935
1960,"White","60-69",0,10436,0.179094232122325
1960,"White","60-69",1,10013,0.171835046592645
1960,"White","60-69",2,12029,0.206432015925589
1960,"White","60-69",3,8739,0.149971684028076
1960,"White","60-69",4,5835,0.100135573441334
1960,"White","60-69",5,3772,0.0647320279384256
1960,"White","60-69",6,2476,0.0424911190815328
1960,"White","60-69",7,1669,0.0286420346312917
1960,"White","60-69",8,1151,0.0197525355665769
1960,"White","60-69",9,778,0.0133514097921779
1960,"White","60-69",10,589,0.0101079439172144
1960,"White","60-69",11,317,0.00544009884848381
1960,"White","60-69",12,467,0.00801427811432788
1960,"White","70+",0,7436,0.160117137873861
1960,"White","70+",1,6680,0.143838418638703
1960,"White","70+",2,8059,0.173532008354687
1960,"White","70+",3,6546,0.140953037186968
1960,"White","70+",4,5025,0.108201804440042
1960,"White","70+",5,3585,0.0771947201825973
1960,"White","70+",6,2594,0.0558558170582029
1960,"White","70+",7,1908,0.0410843866411145
1960,"White","70+",8,1580,0.0340216618935854
1960,"White","70+",9,1082,0.0232983785878857
1960,"White","70+",10,792,0.0170538963415947
1960,"White","70+",11,497,0.0107017506082987
1960,"White","70+",12,657,0.0141469821924592
1960,"Black/African American","40-49",0,2471,0.268586956521739
1960,"Black/African American","40-49",1,1725,0.1875
1960,"Black/African American","40-49",2,1273,0.138369565217391
1960,"Black/African American","40-49",3,910,0.0989130434782609
1960,"Black/African American","40-49",4,691,0.0751086956521739
1960,"Black/African American","40-49",5,479,0.0520652173913043
1960,"Black/African American","40-49",6,406,0.0441304347826087
1960,"Black/African American","40-49",7,326,0.0354347826086957
1960,"Black/African American","40-49",8,247,0.0268478260869565
1960,"Black/African American","40-49",9,176,0.0191304347826087
1960,"Black/African American","40-49",10,172,0.018695652173913
1960,"Black/African American","40-49",11,95,0.0103260869565217
1960,"Black/African American","40-49",12,229,0.0248913043478261
1960,"Black/African American","50-59",0,2215,0.286471805483704
1960,"Black/African American","50-59",1,1514,0.195809622348681
1960,"Black/African American","50-59",2,1020,0.131919296430419
1960,"Black/African American","50-59",3,709,0.0916968442834972
1960,"Black/African American","50-59",4,563,0.0728142783238489
1960,"Black/African American","50-59",5,374,0.0483704086911536
1960,"Black/African American","50-59",6,300,0.0387997930677703
1960,"Black/African American","50-59",7,228,0.0294878427315054
1960,"Black/African American","50-59",8,222,0.02871184687015
1960,"Black/African American","50-59",9,163,0.0210812209001552
1960,"Black/African American","50-59",10,128,0.016554578375582
1960,"Black/African American","50-59",11,79,0.0102172788411795
1960,"Black/African American","50-59",12,217,0.0280651836523539
1960,"Black/African American","60-69",0,1315,0.248066402565554
1960,"Black/African American","60-69",1,940,0.177325033012639
1960,"Black/African American","60-69",2,681,0.128466327108093
1960,"Black/African American","60-69",3,513,0.0967741935483871
1960,"Black/African American","60-69",4,398,0.07508017355216
1960,"Black/African American","60-69",5,303,0.057159026598755
1960,"Black/African American","60-69",6,243,0.0458404074702886
1960,"Black/African American","60-69",7,210,0.0396151669496321
1960,"Black/African American","60-69",8,185,0.0348990756461045
1960,"Black/African American","60-69",9,127,0.0239577438219204
1960,"Black/African American","60-69",10,138,0.0260328239954726
1960,"Black/African American","60-69",11,69,0.0130164119977363
1960,"Black/African American","60-69",12,179,0.0337672137332579
1960,"Black/African American","70+",0,696,0.197952218430034
1960,"Black/African American","70+",1,519,0.147610921501706
1960,"Black/African American","70+",2,437,0.124288964732651
1960,"Black/African American","70+",3,313,0.0890216154721274
1960,"Black/African American","70+",4,297,0.0844709897610921
1960,"Black/African American","70+",5,205,0.0583048919226394
1960,"Black/African American","70+",6,213,0.060580204778157
1960,"Black/African American","70+",7,168,0.0477815699658703
1960,"Black/African American","70+",8,156,0.0443686006825939
1960,"Black/African American","70+",9,122,0.0346985210466439
1960,"Black/African American","70+",10,111,0.0315699658703072
1960,"Black/African American","70+",11,83,0.0236063708759954
1960,"Black/African American","70+",12,196,0.055745164960182
1970,"White","40-49",0,25774,0.135188011728113
1970,"White","40-49",1,24162,0.126732860222498
1970,"White","40-49",2,47803,0.250733007086172
1970,"White","40-49",3,39506,0.207214153462049
1970,"White","40-49",4,24981,0.131028622680996
1970,"White","40-49",5,13086,0.0686377869742412
1970,"White","40-49",6,7016,0.0367998405480113
1970,"White","40-49",7,3617,0.018971639575564
1970,"White","40-49",8,2033,0.0106633517437439
1970,"White","40-49",9,1158,0.00607386193765637
1970,"White","40-49",10,688,0.00360865027038651
1970,"White","40-49",11,342,0.00179383487277934
1970,"White","40-49",12,487,0.00255437889778813
1970,"White","50-59",0,37691,0.196717118997912
1970,"White","50-59",1,32522,0.169739039665971
1970,"White","50-59",2,49106,0.256294363256785
1970,"White","50-59",3,32538,0.16982254697286
1970,"White","50-59",4,18213,0.0950574112734864
1970,"White","50-59",5,9399,0.0490553235908142
1970,"White","50-59",6,4837,0.0252453027139875
1970,"White","50-59",7,2824,0.0147390396659708
1970,"White","50-59",8,1725,0.00900313152400835
1970,"White","50-59",9,1056,0.00551148225469729
1970,"White","50-59",10,662,0.00345511482254697
1970,"White","50-59",11,401,0.00209290187891441
1970,"White","50-59",12,626,0.00326722338204593
1970,"White","60-69",0,37198,0.248412279705896
1970,"White","60-69",1,27821,0.185791656371249
1970,"White","60-69",2,33342,0.222661493358621
1970,"White","60-69",3,20754,0.138597463654395
1970,"White","60-69",4,12026,0.0803109327314132
1970,"White","60-69",5,6829,0.0456048028956278
1970,"White","60-69",6,4265,0.0284821327207282
1970,"White","60-69",7,2538,0.0169490393540933
1970,"White","60-69",8,1774,0.0118469644657847
1970,"White","60-69",9,1182,0.00789352423819477
1970,"White","60-69",10,841,0.00561628924223503
1970,"White","60-69",11,467,0.00311867666602112
1970,"White","60-69",12,706,0.0047147445957407
1970,"White","70+",0,33277,0.233734398156928
1970,"White","70+",1,22158,0.155635628042228
1970,"White","70+",2,27154,0.190727044131178
1970,"White","70+",3,19599,0.137661461955033
1970,"White","70+",4,13383,0.0940008850116948
1970,"White","70+",5,8686,0.061009615722303
1970,"White","70+",6,5905,0.0414761433157033
1970,"White","70+",7,3948,0.0277303664369851
1970,"White","70+",8,3002,0.0210857548236649
1970,"White","70+",9,1946,0.013668513952982
1970,"White","70+",10,1402,0.00984751108020594
1970,"White","70+",11,872,0.00612484284018515
1970,"White","70+",12,1039,0.00729783453090868
1970,"Black/African American","40-49",0,3971,0.182532751091703
1970,"Black/African American","40-49",1,3412,0.156837508618708
1970,"Black/African American","40-49",2,3083,0.141714548379683
1970,"Black/African American","40-49",3,2627,0.120753849689726
1970,"Black/African American","40-49",4,2098,0.0964376005515973
1970,"Black/African American","40-49",5,1658,0.0762123649735693
1970,"Black/African American","40-49",6,1261,0.0579636865088485
1970,"Black/African American","40-49",7,1067,0.049046196276718
1970,"Black/African American","40-49",8,784,0.0360376924844863
1970,"Black/African American","40-49",9,528,0.0242702826936336
1970,"Black/African American","40-49",10,444,0.0204091013560101
1970,"Black/African American","40-49",11,283,0.0130085037922317
1970,"Black/African American","40-49",12,539,0.0247759135830843
1970,"Black/African American","50-59",0,5209,0.264496801056159
1970,"Black/African American","50-59",1,3691,0.187417487559663
1970,"Black/African American","50-59",2,2751,0.139687214380014
1970,"Black/African American","50-59",3,2043,0.103737178836194
1970,"Black/African American","50-59",4,1563,0.0793642733827562
1970,"Black/African American","50-59",5,1035,0.0525540773839748
1970,"Black/African American","50-59",6,848,0.0430587996344064
1970,"Black/African American","50-59",7,629,0.0319386615212755
1970,"Black/African American","50-59",8,565,0.0286889407941505
1970,"Black/African American","50-59",9,396,0.020107646999086
1970,"Black/African American","50-59",10,316,0.0160454960901797
1970,"Black/African American","50-59",11,214,0.0108662536813243
1970,"Black/African American","50-59",12,434,0.0220371686808165
1970,"Black/African American","60-69",0,4515,0.299820705226111
1970,"Black/African American","60-69",1,2810,0.186599375788565
1970,"Black/African American","60-69",2,2060,0.136795271930407
1970,"Black/African American","60-69",3,1421,0.0943621754432565
1970,"Black/African American","60-69",4,1089,0.0723155588020453
1970,"Black/African American","60-69",5,827,0.0549173251875955
1970,"Black/African American","60-69",6,546,0.036257387608739
1970,"Black/African American","60-69",7,448,0.029749651371273
1970,"Black/African American","60-69",8,348,0.0231091041901853
1970,"Black/African American","60-69",9,278,0.0184607211634239
1970,"Black/African American","60-69",10,209,0.0138787436084733
1970,"Black/African American","60-69",11,143,0.00949598246895544
1970,"Black/African American","60-69",12,365,0.0242379972109702
1970,"Black/African American","70+",0,2795,0.260145197319434
1970,"Black/African American","70+",1,1773,0.165022338049144
1970,"Black/African American","70+",2,1381,0.128536857781087
1970,"Black/African American","70+",3,1070,0.099590469099032
1970,"Black/African American","70+",4,909,0.0846053611317945
1970,"Black/African American","70+",5,627,0.0583581533879375
1970,"Black/African American","70+",6,492,0.0457930007446016
1970,"Black/African American","70+",7,398,0.0370439314966493
1970,"Black/African American","70+",8,315,0.0293186895011169
1970,"Black/African American","70+",9,271,0.0252233804914371
1970,"Black/African American","70+",10,225,0.0209419210722264
1970,"Black/African American","70+",11,144,0.0134028294862249
1970,"Black/African American","70+",12,344,0.032017870439315
1980,"White","40-49",0,8700,0.103735676726245
1980,"White","40-49",1,7843,0.0935171163866598
1980,"White","40-49",2,20127,0.239987122467717
1980,"White","40-49",3,20098,0.239641336878629
1980,"White","40-49",4,13455,0.160432589695589
1980,"White","40-49",5,6932,0.0826546794329116
1980,"White","40-49",6,3536,0.042161994586667
1980,"White","40-49",7,1631,0.0194474584759202
1980,"White","40-49",8,770,0.00918120357232284
1980,"White","40-49",9,390,0.00465021999117651
1980,"White","40-49",10,196,0.00233703363659127
1980,"White","40-49",11,97,0.00115659317729262
1980,"White","40-49",12,92,0.00109697497227753
1980,"White","50-59",0,13645,0.131845939782785
1980,"White","50-59",1,12463,0.120424767131759
1980,"White","50-59",2,25905,0.250309202643683
1980,"White","50-59",3,22069,0.213243535732231
1980,"White","50-59",4,13691,0.132290418583079
1980,"White","50-59",5,7290,0.0704402272639431
1980,"White","50-59",6,3836,0.0370656669114521
1980,"White","50-59",7,2062,0.0199242453522978
1980,"White","50-59",8,1119,0.010812429946276
1980,"White","50-59",9,578,0.00558497275151703
1980,"White","50-59",10,378,0.00365245622850075
1980,"White","50-59",11,197,0.00190352877517103
1980,"White","50-59",12,259,0.00250260889730607
1980,"White","60-69",0,17217,0.192655006881735
1980,"White","60-69",1,15052,0.16842906218179
1980,"White","60-69",2,23092,0.258395157049023
1980,"White","60-69",3,15453,0.172916177112357
1980,"White","60-69",4,8502,0.0951357883782604
1980,"White","60-69",5,4380,0.0490113800396119
1980,"White","60-69",6,2405,0.0269114997706088
1980,"White","60-69",7,1236,0.0138306086139179
1980,"White","60-69",8,812,0.00908612798907874
1980,"White","60-69",9,480,0.00537111014132734
1980,"White","60-69",10,289,0.00323385589759083
1980,"White","60-69",11,162,0.00181274967269798
1980,"White","60-69",12,287,0.00321147627200197
1980,"White","70+",0,22347,0.242540998730152
1980,"White","70+",1,16498,0.179059444088694
1980,"White","70+",2,20427,0.221702464807841
1980,"White","70+",3,13096,0.142136166795099
1980,"White","70+",4,7542,0.0818563660635792
1980,"White","70+",5,4568,0.0495783452901657
1980,"White","70+",6,2779,0.0301616071719288
1980,"White","70+",7,1660,0.0180166491203317
1980,"White","70+",8,1173,0.0127310418181621
1980,"White","70+",9,806,0.00874784288613695
1980,"White","70+",10,505,0.00548096855769126
1980,"White","70+",11,301,0.00326687432844568
1980,"White","70+",12,435,0.00472123034177366
1980,"Black/African American","40-49",0,1382,0.119014812263176
1980,"Black/African American","40-49",1,1471,0.126679297278677
1980,"Black/African American","40-49",2,1668,0.143644505683775
1980,"Black/African American","40-49",3,1675,0.144247330347916
1980,"Black/African American","40-49",4,1444,0.124354116431278
1980,"Black/African American","40-49",5,1165,0.100327247674819
1980,"Black/African American","40-49",6,876,0.075439200826731
1980,"Black/African American","40-49",7,670,0.0576989321391664
1980,"Black/African American","40-49",8,470,0.0404753703065794
1980,"Black/African American","40-49",9,301,0.0259214605580434
1980,"Black/African American","40-49",10,198,0.0170513262142611
1980,"Black/African American","40-49",11,119,0.0102480192903893
1980,"Black/African American","40-49",12,173,0.0148983809851877
1980,"Black/African American","50-59",0,2207,0.189004025006423
1980,"Black/African American","50-59",1,1762,0.150894921640832
1980,"Black/African American","50-59",2,1679,0.143786931574891
1980,"Black/African American","50-59",3,1434,0.122805515115184
1980,"Black/African American","50-59",4,1104,0.0945448317204761
1980,"Black/African American","50-59",5,839,0.0718506465701807
1980,"Black/African American","50-59",6,691,0.059176158259827
1980,"Black/African American","50-59",7,555,0.0475293311638263
1980,"Black/African American","50-59",8,422,0.0361394193714139
1980,"Black/African American","50-59",9,306,0.0262053609660015
1980,"Black/African American","50-59",10,230,0.0196968399417659
1980,"Black/African American","50-59",11,163,0.0139590648282949
1980,"Black/African American","50-59",12,285,0.0244069538408838
1980,"Black/African American","60-69",0,2467,0.270801317233809
1980,"Black/African American","60-69",1,1632,0.179143798024149
1980,"Black/African American","60-69",2,1309,0.143688254665203
1980,"Black/African American","60-69",3,948,0.104061470911087
1980,"Black/African American","60-69",4,654,0.0717892425905598
1980,"Black/African American","60-69",5,495,0.0543358946212953
1980,"Black/African American","60-69",6,398,0.0436882546652031
1980,"Black/African American","60-69",7,287,0.0315038419319429
1980,"Black/African American","60-69",8,235,0.0257958287596048
1980,"Black/African American","60-69",9,203,0.0222832052689352
1980,"Black/African American","60-69",10,156,0.0171240395170143
1980,"Black/African American","60-69",11,98,0.0107574094401756
1980,"Black/African American","60-69",12,228,0.0250274423710209
1980,"Black/African American","70+",0,2361,0.301956771965725
1980,"Black/African American","70+",1,1518,0.19414247346208
1980,"Black/African American","70+",2,1025,0.13109093234429
1980,"Black/African American","70+",3,740,0.0946412584729505
1980,"Black/African American","70+",4,530,0.0677836040414375
1980,"Black/African American","70+",5,371,0.0474485228290063
1980,"Black/African American","70+",6,299,0.0382401841667732
1980,"Black/African American","70+",7,270,0.0345312699833738
1980,"Black/African American","70+",8,183,0.0234045274331756
1980,"Black/African American","70+",9,133,0.0170098478066249
1980,"Black/African American","70+",10,133,0.0170098478066249
1980,"Black/African American","70+",11,72,0.00920833866223302
1980,"Black/African American","70+",12,184,0.0235324210257066
1990,"White","40-49",0,15945,0.138951826547685
1990,"White","40-49",1,15601,0.135954057445622
1990,"White","40-49",2,40534,0.353231316229782
1990,"White","40-49",3,25295,0.220431887897379
1990,"White","40-49",4,10872,0.0947434467373118
1990,"White","40-49",5,3962,0.034526631344116
1990,"White","40-49",6,1509,0.0131500976017847
1990,"White","40-49",7,587,0.00511537925264919
1990,"White","40-49",8,243,0.00211761015058561
1990,"White","40-49",9,94,0.000819157836029002
1990,"White","40-49",10,46,0.000400864472950363
1990,"White","40-49",11,33,0.000287576687116564
1990,"White","40-49",12,31,0.000270147796988288
1990,"White","50-59",0,9906,0.103102655106735
1990,"White","50-59",1,8765,0.0912270111054445
1990,"White","50-59",2,23462,0.2441948812956
1990,"White","50-59",3,23189,0.24135346954069
1990,"White","50-59",4,15340,0.159660279561611
1990,"White","50-59",5,7954,0.0827860406540451
1990,"White","50-59",6,3877,0.0403522101603888
1990,"White","50-59",7,1828,0.0190260098460642
1990,"White","50-59",8,912,0.00949218871969941
1990,"White","50-59",9,420,0.00437140269986157
1990,"White","50-59",10,205,0.0021336608415991
1990,"White","50-59",11,103,0.00107203447163272
1990,"White","50-59",12,118,0.00122815599662777
1990,"White","60-69",0,12387,0.123419518756539
1990,"White","60-69",1,11612,0.115697703382653
1990,"White","60-69",2,24867,0.247765655357944
1990,"White","60-69",3,21705,0.216260648632491
1990,"White","60-69",4,13803,0.137528022717083
1990,"White","60-69",5,7396,0.0736910277487172
1990,"White","60-69",6,3968,0.0395356947142928
1990,"White","60-69",7,1982,0.0197479200916654
1990,"White","60-69",8,1122,0.0111791959348378
1990,"White","60-69",9,638,0.0063567976884372
1990,"White","60-69",10,384,0.00382603497235092
1990,"White","60-69",11,199,0.00198276291535894
1990,"White","60-69",12,302,0.00300901708763015
1990,"White","70+",0,24233,0.200322393981979
1990,"White","70+",1,20669,0.170860543936513
1990,"White","70+",2,30191,0.249574274613541
1990,"White","70+",3,19981,0.165173183433909
1990,"White","70+",4,11496,0.09503182607258
1990,"White","70+",5,6073,0.0502025295527817
1990,"White","70+",6,3344,0.0276432173266099
1990,"White","70+",7,1895,0.0156650409192362
1990,"White","70+",8,1202,0.00993634785484004
1990,"White","70+",9,724,0.00598495494750765
1990,"White","70+",10,497,0.00410845664214268
1990,"White","70+",11,288,0.00238075555922956
1990,"White","70+",12,377,0.00311647515913036
1990,"Black/African American","40-49",0,1645,0.125812619502868
1990,"Black/African American","40-49",1,2082,0.159235181644359
1990,"Black/African American","40-49",2,3150,0.240917782026769
1990,"Black/African American","40-49",3,2466,0.188604206500956
1990,"Black/African American","40-49",4,1630,0.124665391969407
1990,"Black/African American","40-49",5,957,0.0731931166347992
1990,"Black/African American","40-49",6,552,0.0422179732313576
1990,"Black/African American","40-49",7,269,0.0205736137667304
1990,"Black/African American","40-49",8,168,0.012848948374761
1990,"Black/African American","40-49",9,80,0.00611854684512428
1990,"Black/African American","40-49",10,30,0.00229445506692161
1990,"Black/African American","40-49",11,19,0.00145315487571702
1990,"Black/African American","40-49",12,27,0.00206500956022945
1990,"Black/African American","50-59",0,1215,0.111009593421654
1990,"Black/African American","50-59",1,1342,0.122613065326633
1990,"Black/African American","50-59",2,1683,0.153768844221106
1990,"Black/African American","50-59",3,1591,0.145363179534034
1990,"Black/African American","50-59",4,1423,0.130013704888077
1990,"Black/African American","50-59",5,1075,0.0982183645500228
1990,"Black/African American","50-59",6,848,0.0774783005938785
1990,"Black/African American","50-59",7,611,0.0558245774326176
1990,"Black/African American","50-59",8,427,0.0390132480584742
1990,"Black/African American","50-59",9,305,0.027866605756053
1990,"Black/African American","50-59",10,167,0.0152581087254454
1990,"Black/African American","50-59",11,82,0.00749200548195523
1990,"Black/African American","50-59",12,176,0.0160804020100503
1990,"Black/African American","60-69",0,1610,0.167481535420784
1990,"Black/African American","60-69",1,1404,0.146052220950796
1990,"Black/African American","60-69",2,1370,0.142515343805264
1990,"Black/African American","60-69",3,1119,0.116404868407365
1990,"Black/African American","60-69",4,913,0.0949755539373765
1990,"Black/African American","60-69",5,766,0.0796837615728701
1990,"Black/African American","60-69",6,616,0.0640798918131697
1990,"Black/African American","60-69",7,506,0.0526370539893894
1990,"Black/African American","60-69",8,381,0.039633829189639
1990,"Black/African American","60-69",9,253,0.0263185269946947
1990,"Black/African American","60-69",10,232,0.0241339852283366
1990,"Black/African American","60-69",11,154,0.0160199729532924
1990,"Black/African American","60-69",12,289,0.0300634557370228
1990,"Black/African American","70+",0,2723,0.275886524822695
1990,"Black/African American","70+",1,1807,0.183080040526849
1990,"Black/African American","70+",2,1282,0.129888551165147
1990,"Black/African American","70+",3,985,0.0997973657548126
1990,"Black/African American","70+",4,707,0.0716312056737589
1990,"Black/African American","70+",5,535,0.0542046605876393
1990,"Black/African American","70+",6,429,0.0434650455927052
1990,"Black/African American","70+",7,366,0.0370820668693009
1990,"Black/African American","70+",8,287,0.0290780141843972
1990,"Black/African American","70+",9,215,0.0217831813576494
1990,"Black/African American","70+",10,161,0.0163120567375887
1990,"Black/African American","70+",11,93,0.0094224924012158
1990,"Black/African American","70+",12,280,0.0283687943262411
